"","Order","Minority Name","Self title","Other names","International names","Local group","Distribution","Population","Male","Female","Language","Language group","Language branch","Language family","Region","General information about traditional costumes","Note"
"11",11,"Xinh Mun","Xinh Mun or Xinh Mul","Puoc, Xa, Pna","Ksingmul","Xinh Mun Da, Xinh Mun Nghet","Son La , Dien Bien province",29503,14515,14988,"Puoc","Kho Mu","Mon - Khmer","Autro-Asiatic","Northwest","The Xinh Mun people have lived in Northwest Vietnam for a long time. However, they are heavily influenced by Thai culture. Xinh Mun women wear short shirts with open front buttons. The buttons are in the various shape of a cicada, spider, or cicada. The skirts are usually black or indigo, showing off their calves. The Xinh Mun costume is similar to that of the Black Thai, but the way the headscarf is slightly different.
","Population as of 2019"
"12",12,"Bo Y","Bo Y","Chung Cha, Trong Gia","Bouyei","Bo Y, Tu Di","Yen Bai, Son La and Lai Chau province",3232,1694,1538,"Bo Y","Thai","Tay-Thai","Tai-Kadai","Northwest","The Bo Y people originated from China, had migrated to Vietnam about 150 years ago.
Bo Y women wear a five-piece short shirt with removable sleeves. The fabric's pattern is created by beeswax and indigo dying. Women's hair is left long and tied back on the top of the head, wearing a thread patterned indigo scarf. Men wear a short top with indigo-coloured pants.","Population as of 2019"
"13",13,"Dao","Kim Mun or Kim Mien","Man","Yao","Red Dao, Dao Quan Chet, Dao Lo Gang, Dao Tien, Dao Quan Trang, Dao Thanh Y, Dao Lan Ten","Spread from Cao Bang, Lao Cai, Ha Giang, Yen Bai ... to Vinh Phuc, Hoa Binh, Quang Ninh",891151,450922,440229,"Hmong, Mien","Hmong, Mien","","H'mong -Mien","Northwest","The Dao migrated from China from the 12th-13th century to the first half of the 20th century. They developed cotton farming, weaving, blacksmithing, and silversmithing.
Each Dao group has a very different way of dressing and cultural identity. The Red Dao people's primary costume is red, with many hand-embroidered patterns, red tassels, and brilliant beads. They believe red brings happiness and good luck.","Population as of 2019"
"14",14,"Giay","Giay","Nhang, Dang, Pau Thin, Pu Na, Cui Chu, Xa","Giay","Not avaible","Lao Cai, Ha Giang, Lai Chau",67858,34675,33183,"Bo Y","Thai","Tay-Thai","Tai-Kadai","Northwest","The Giay people migrated from China to Vietnam in the 19th century. They have a lot of experience cultivating terraced fields, growing wet rice and many other food crops.
Compared with other Northwest ethnic traditional costumes, the Giay ethnic group is quite simple. Giay women wear a five-piece shirt with a colourful background of red, pink or blue. The cuffs and hem of the shirt are decorated with different coloured fabrics. Accessories are usually colourful wool square scarves.","Population as of 2019"
"15",15,"Mong","Mong, Na Mieo","Meo, Meo, Mieu Ha, Man Trang","Hmong","Mong Trang, Mong Hoa, Mong Do, Mong Den, Mong Xanh, Na Mieo","East - Northwest Provinces, Some in Gia Lai, Kon Tum",1393547,710709,682838,"H'mong","H'mong","","H'mong -Mien","Northwest","The H'mong people have a tradition of intercropping on upland fields. They developed basketry, blacksmithing, saddle-making, wood-making, paper-making, silversmithing, and linen weaving.
H'mong costumes are quite different from other groups. H'mong women wear an indigo skirt with patterns made of beeswax, a shirt with split underarms, shoulders and chest covered with coloured cloth. They often keep their hair long and tied around their heads with wigs. H'mong men wear wide-legged black pants for easy climbing and flute dancing.","Population as of 2019"
"16",16,"Phu La","Lao Va Xo, Bo Kho Pa, Phu La","Xa Po, Can Thin, Mu Di Pa, Can Thin, Pu Dang","Phu La","Phu La Lao - Bo Kho Pa, Phu La Den, Phu La Han","Ha Giang, Lao Cai, Yen Bai, Lai Chau",12417,6370,6047,"Phu La","Lo Lo","Tibeto-Burman","Sino-Tibetan","Northwest","
The Phu La Lao - Bo Kho Pa group has presented in the North of Vietnam for a long time; other groups only appeared between 200 and 300 years ago.
The Phu La Lao women wear skirts, short pullovers with square necks. Costumes are decorated with embroidery, beads and mountain snail shells. Men wear loose pants and a black indigo shirt with sparkling beads on the back. Other Phu La groups wear pants, combined with a split chest long shirt or split armpit short shirt.","Population as of 2019"
"17",17,"Thai","Tay, Tay hoac Thay","Tay Thanh, Man Thanh, Tay Muoi, Tay Muong, Hang Tong, Tay Do, Tho Da Bac","Tai","Tay Dam (Black Thai), Tay Don/Tay Khao (White Thai), Tay Deng (Red Thai)","Hoa Binh, Lai Chau, Dien Bien, Son La, Lao Cai, Yen Bai, Thanh Hoa, Nghe An",1820950,912296,908654,"Thai","Tay-Thai","Thai","Tai-Kadai","Northwest","The Thai people are originated from mainland Southeast Asia. They have been present in  ​Vietnam more than 1200 years ago. The Thai develop wet rice cultivation in the valley fields. They also grow many other food crops and cotton for weaving.
Thai women wear colourful short blouses with silver buttons-shaped butterflies, spiders or cicada. The Black Thai women wear Pieu scarves with many colourful patterns. Thai men wear a split-chest top and a black scarf. On festive events, men wear a long shirt with an armpit split and a one arm span long scarf.","Population as of 2019"
"18",18,"Co Lao","Co Lao","Tu Du, Ho Ki, Voa De","Gelao","Co Lao Xanh, Co Lao Trang, Co Lao Do","Ha Giang, Tuyen Quang",4003,2018,1985,"Ka Dai","Kra","","Tai-Kadai","East Northern","The Co Lao migrated to Vietnam 150-200 years ago. They live mainly by farming on the mountainous field. They are also good at basketry and wood making.
The Co Lao women wear a knee-length five-piece shirt (similar to that of Nung and Giay people), coloured cloths and decorative embroideries placed on the chest and sleeves. Their headscarf has no decorative patterns wrapping around the head. Co Lao people also use a woollen square scarf. Their skirt is flare with foldings like that of the Hmong people, but only in black, without any pattern.","Population as of 2019"
"19",19,"La Chi","Cu Te","Tho Den, Man, Xa, La Qua","Lachi","Not avaible","Ha Giang, Lao Cai",15126,7518,7608,"La Chi","Kra","","Tai-Kadai","East Northern","The La Chi people are good at cultivating terraced fields and growing rice. Cotton and indigo cultivation are also crucial in their daily activity.
La Chi men wear a five-piece long shirt, buttoned up in the right armpit, and a turban on the head. Women wear a long dress with a slit in the middle, embroidered undershirt (dudou), and cloth belts. In addition, La Chi women wear a headscarf during festive events. The primary colour in the costumes of the La Chi people is black indigo.","Population as of 2019"
"20",20,"Lo Lo","Lo Lo","Mun Di, Di, Man Di, La La, Qua La, O Man, Lo Loc Man","Lolo, Yi or Nuosuo","Lo Lo Hoa, Lo Lo Den","Ha Giang, Cao Bang, Lao Cai",4827,2409,2418,"Lo Lo","","Tibeto-Burman","Sino-Tibetan","East Northern","The costumes of the two groups Black Lo Lo and Lo Lo Hoa are decorated by stitching pieces of coloured fabric together. Lo Lo Hoa women wear a short shirt with chest split and long sleeves. The shirt's front is covered with coloured triangular patches. Women's headscarf is also decorated with colourful fabrics, beads and clusters of small colourful tassels. Lo Lo Hoa men wear short chest split shirts, flared pants, and colourful headscarves similar to women's.","Population as of 2019"
"21",21,"Ngai","San Ngai","Ngai Hac Ca, Ngai Lau Man, He,Sin, Dan, Le, Xuyen","Ngai","Not avaible","Bac Giang, Cao Bang, Lang Son, Quang Ninh, Binh Thuan, Dong Nai ...",1649,881,768,"Ngai","","Sino","Sino-Tibetan","East Northern","The Ngai people are descendants of the Xa people, having the same origin as the San Diu. This ethnic group is one of the few ethnic groups that suffered a sharp decline from 4841 people (1999) to 1035 (2009). Although the population has increased now, it needs to be taken care of.
The Ngai people mainly wear indigo-dyed cotton clothes with almost no patterns. Men wear short chest split shirts, long pants and belts. Women wear a five-piece shirt with a split below the neck, diagonally across the right armpit.
","Population as of 2019"
"22",22,"Nung","Nong","Not avaible","Nung","Nung Giang, Nung Xuong, Nung An, Nung Inh, Nung Loi, Nung Chao, Nung Phan Sling, Nung Quy Rin, Nung Din","Lang Son, Cao Bang, Bac Kan, Thai Nguyen, Dak Lak",1086298,550753,535545,"Nung","Thai","Tay-Thai","Tai-Kadai","East Northern","The Nung people originated from Guangzhou (China) and migrated to Vietnam in the 17th - 19th century. The Nung lived by farming on upland fields. They developed many crafts: weaving, blacksmithing, tile making, paper making, etc
The Nung costumes are mainly made of indigo-dyed fabrics. Women wear a five-piece shirt with wide sleeves; the collar has pieces of different-coloured fabric. Men wear collared shirts, chest slits with fabric buttons.","Population as of 2019"
"23",23,"Pa Then","Pa Hung","Meo Lai, Meo Hoa, Meo Do, Bat Tien Toc","Pa Then","Not avaible","Ha Giang, Tuyen Quang",8248,4132,4116,"Pa Then","H'mong","","H'mong -Mien","East Northern","From the Pa Then's legend, their ancestors migrated with the Dao from the Than Lo region (China) to Vietnam by the sea in the 17th century.
Pa Then people have a weaving profession which is favoured by neighbouring ethnic groups. The primary colour in Pa Then women's costume is red - the colour of the firebird in their faith. Women wrap their long hair with a scarf around their heads. The scarf has red and yellow tassels. Women's shirt has no collar or buttons; the back body is longer than the front. The shirt is composed of many pieces of fabric carefully assembled.","Population as of 2019"
"24",24,"Pu Peo","Kabeo","La Qua, Penti Lo Lo","Qabiao","Not avaible","Dong Van Plateau, Ha Giang",903,467,436,"Pu Peo","","Kra","Tai-Kadai","East Northern","The Pu Peo ethnic group is recognized as one of the first who settles in the northernmost region of Vietnam. They have great agricultural techniques.
Pu Peo men wear indigo chest slit shirts and pants of the same colour. In addition, men wear scarves, indigo or white split underarm long shirt on holidays. Pu Peo women keep their long hair wrapped around their heads by a comb or wear a square scarf. They wear two layers of shirts; the outer shirt has a chest slit, decorative patterns on the sleeves, the collar, and the hem.","Population as of 2019"
"25",25,"San Chay","San Chay","Hon Ban, Chung, Trai","San Chay","Cao Lan, San Chi","Tuyen Quang, Thai Nguyen, Bac Giang, Quang Ninh, Cao Bang, Lang Son",201398,102914,98484,"Cao Lan, San Chi","","Thai, Sino","Tai-Kadai, Sino-Tibetan","East Northern","The San Chay people absorbed the wet rice civilization. They often lived around low-lying areas with flat valleys to cultivate terraced fields.
The San Chay women of the Cao Lan group wear indigo skirts and long shirt with decorative patterns on the back. This traditional shirt is called ""pu ball dinh"" - butterfly shirt. The accompanying outfit includes an undershirt (dudou), headscarf and leggings. Usually, they wear an indigo belt; on holidays, they wear two or three multicoloured belts.
","Population as of 2019"
"26",26,"San Diu","San Deo Nhin","Trai, Trai Dat, Man Quan Coc, Man Vay Xe","San Diu","Not avaible","Thai Nguyen, Vinh Phuc, Bac Giang, Quang Ninh, Tuyen Quang, Hai Duong",183004,94796,88208,"Cantonese dialect","","Sino","Sino-Tibetan","East Northern","The San Diu people originated from Guangdong (China) during the Ming Dynasty; they migrated to Vietnam about 300 years ago.
San Diu women's costumes include a headscarf, knee-length outer shirt, a short shirt, a white undershirt (dudou), a knee-length slit skirt, white leggings and a belt of green or red silk. San Diu men's costumes are pretty simple, loose shirts with wide pockets, wide-leg pants and elastic waistband for easy climbing and farming.","Population as of 2019"
"27",27,"Tay","Tay","Tho","Tay","Tho, Ngan, Phen, Thu Lao, Pa Di","Quang Ninh, Bac Giang, Cao Bang, Bac Kan, Lao Cai, Yen Bai",1845492,920901,924591,"Tay","","Thai","Tai-Kadai","East Northern","The Tay appeared in Vietnam around the second half of the first millennium BC. They develop wet rice cultivation, do intensive farming and use irrigation methods.
Brocade weaving of the Tay people is specially developed, providing many beautiful and unique patterns. However, the traditional costume of the Tay people is simple without embroidery and decoration, only cotton fabric dyed in indigo. Women wear short skirts or pants, a short inner blouse and a long outer shirt. Men wear a four-piece blouse, five-piece long outer shirt, headscarf, pants, and canvas shoes.","Population as of 2019"
"28",28,"Muong","Mol (or Mon, Mual, Moan)","Not avaible","Muong","Ao Ta (Au Ta)","Hoa Binh, Thanh Hoa, Phu Tho",1452095,731856,720239,"Muong","Viet Muong","Mon - Khmer","Autro-Asiatic","Red river delta","Muong people have the same origin as Kinh people. They appeared in the North of Vietnam for a long time. The Muong live mainly on wet fields, and rice is their primary food crop. Muong women and men both like to smoke in large pipes
Muong men's clothing is quite simple with pants, belts, short blouses made of cotton or silk, buttoned up or crossed to the side. Muong women wear a white plain rectangular scarf on their heads, chest split short blouses, an undershirt (dudou) and ankle-length skirts.","Population as of 2019"
"29",29,"Kinh","Kinh","Kinh","Vietnamese","Not avaible","All Vietnamese territory",82089728,40880685,41209043,"Vietnamese","Viet Muong","Mon - Khmer","Autro-Asiatic","Red river delta","According to 2019 data, the Kinh is the majority ethnic group,  making up 82.32% in Vietnam.
The Kinh have long settled in the North and North Central regions. They developed wet-rice agriculture and irrigation very early. Their craftsmanships and trading system are well developed. Kinh men wore dark-coloured pants and blouses and were barefoot in the past. At festive events, men wear black robes, turbans, and wooden clogs. Kinh women often wear black skirts and blouses, and headscarves. They were ""ao dai"" - a long gown with slits on two sides in holidays. ","Population as of 2019"
"30",30,"Bru - Van Kieu","Bru","Bru, Van Kieu","Bru","Van Kieu, Tri, Khua, Ma Coong","Truong Son - Tay Nguyen area (Quang Tri, Thua Thien Hue, Quang Binh)",94598,47394,47204,"Bru","Co Tu","Mon - Khmer","Autro-Asiatic","North Central","The Bru - Van Kieu are one of the oldest ethnic groups resident in the Truong Son mountain range. However, they do not develop the craft. Instead, fabrics are mostly bought from Laos. 
Traditionally, men wear loincloths; hair kept long or in a bun. Women's costumes are indigo-dyed chest-slit shirts decorated with round silver metal rows at the edge of the neck and on both sides of the shirt. Some groups wear sleeveless pullovers, round or square necklines. Young women tight their hair to the left. Married women put their hair in a bun on top of their heads.
","Population as of 2019"
"31",31,"Chut","Chut","Ruc, Arem, Sach","Chut","May, Ruc, Sach, Arem, Ma Lieng","Quang Binh",7513,3794,3719,"Chut","Viet Muong","Mon - Khmer","Autro-Asiatic","North Central","The Chut people live mainly by hunting and gathering or nomadic cultivation (the Sach group). Until 1954, many Chut people (Arem, Ruc groups) still lived in caves in Quang Binh province.
They do not weave and have no traditional costumes. Instead, outfits of the Chut people come from exchanging with the Kinh and Laotian communities. Men wear loincloths, and women wear skirts. Today, all Chut people dress like the Kinh.","Population as of 2019"
"32",32,"Co Tu","Co Tu","Ka Tu, Ca Tu","Katu","Not avaible","Quang Nam, Thua Thien Hue",74173,37161,37012,"Co Tu","","Mon - Khmer","Autro-Asiatic","North Central","The Co Tu people live mainly by hunting, gathering and fishing. They developed weaving, basketry and pottery making. It is still common to exchange goods instead of money in their community.
Co Tu men wear loincloths. Co Tu women wear long or short skirts with sleeveless tops. The Co Tu people prefer clothes made of woven fabric on a black background with lead and white beat patterns.","Population as of 2019"
"33",33,"O Du","O Du or I Du","Tay Hat","O Du","Not avaible","Tuong Duong District, Nghe An",428,237,191,"O Du","Khmu","Mon - Khmer","Autro-Asiatic","North Central","The O Du people in the past gathered along the Nam Non river (Tuong Duong district - Nghe An province) then scattered to many places after many events. 
O Du people have a tradition of weaving and sewing their clothes. Men wear light red silk shirts, round necks with chest slits, and tied with strings. Women wear black, long-sleeve, unbuttoned tops that use a cross-tie. The costumes of the O Du people have almost no decorative patterns.","Population as of 2019"
"34",34,"Ta Oi","Ta Oi","Ta Oi, Pa Co, Ta Uot, Kan Tua, Pa Hy","Ta Oi","Ta Oi, Pa Co, Pa Hy","Thua Thien Hue, Quang Tri",52356,26283,26073,"Ta Oi","Ka Tu","Mon - Khmer","Autro-Asiatic","North Central","The Ta Oi people appeared for a long time in Truong Son mountain. They live on upland rice cultivation combined with hunting and gathering. Weaving is only available in a few places, but neighbouring ethnic groups favour their fabric.
Ta Oi women wear short skirts with tops or long skirts covering the chest down. Today, dresses are often woven with brocade thread and beads. Ta Oi men usually wear loincloths, topless or sleeveless pullovers. In addition, they wrap an X-shaped scarf around their chest on cold days or festivals.","Population as of 2019"
"35",35,"Tho","Tho","Nguoi Nha Lang, Muong, Con Kha, Xa La Vang","Tho","Keo, Mon, Cuoi, Ho, Dan Lai, Ly Ha, Tay Poong","Nghe An",91430,47178,44252,"Tho","Viet Muong","Vietnamese","Autro-Asiatic","North Central","The Tho community was formed in the 19th century by the Kinh, Muong migrants and locals. Therefore, the different Tho groups have quite diverse systems of language and customs.
Tho women wear white blouses with narrow necklines and white square headscarves (some groups wear indigo shirts). Tho men wear white pants with a waistband, a long black tunic and a headscarf.","Population as of 2019"
"36",36,"Co","Cor or Col","Cua, Trau","Cor","Not avaible","Quang Ngai, Quang Nam",40442,20545,19897,"Cor","Ba Na","Mon - Khmer","Autro-Asiatic","South Central","The Co live mainly on upland farming. Weaving and blacksmithing were not developed, but they had many beautiful knitwear. The Cor mostly buy fabric from the Kinh and Xo Dang people.
On regular days, Cor men wear a loincloth. Women wear an undershirt (dudou), short sleeve shirt and skirt. On festive days, men wear loincloths and wear Xa Pon (a wide brocade cloth that covers the body up to the calf). The Co's ceremonial costumes are colourful, including beads and coloured tassels.","Population as of 2019"
"37",37,"Raglai","Raglai","Raglai, Ra Glay, Raglay, Rang Chok, Rang Ngok","Raglai","Rai, La Oang","Ninh Thuan, Khanh Hoa, Binh Thuan",146613,71694,74919,"Raglai","Cham group","Malay-Polynesia","Austronesian","South Central","The Raglai are a branch of the Cham goup. In the idiom of the Cham people, there is a sentence ""Cham sa-ai Raglai adei"" - the Cham are the eldest sister, the Raglai are the youngest. These two ethnic groups profoundly influence each other in culture and customs.
The Raglai people have a ""Khoang"" top, the body and sleeves have many alternating black and white compartments. Unmarried girls wear pullovers, while married women wear a front split to facilitate breastfeeding. The Raglai man wears a loincloth and ""Khoang"" top. Both men and women have headscarves.","Population as of 2019"
"38",38,"Brau","Brau","Brao, Brao","Brau","Not avaible","Bo Y Commune, Ngoc Hoi District, Kon Tum Province",528,257,271,"Brau","Ba Na","Mon - Khmer","Autro-Asiatic","Highlands","The Brau migrated to Vietnam about 100 years ago, from the southern Laos and northeastern Cambodia regions.
In the past, men wore loincloths, and women wore skirts. In the summer, men and women often topless or wear short pullovers. In the cold season, they put on an extra blanket. In addition, women have the custom of piercing ears to wear golden bamboo rings or ivory piercings.","Population as of 2019"
"39",39,"Chu Ru","Chu Ru","Chu Ru, Cho Ru, Kru, Thuong","Churu or Chru","Not avaible","Lam Dong, Ninh Thuan",23242,11365,11877,"Churu","Cham group","Malay-Polynesia","Austronesian","Highlands","There is an assumption that the Chu Ru people were part of the Cham group, then separated. Their agriculture is developed but not handicrafts. Their costumes are exchanged with neighbouring ethnic groups such as Cham, Co Ho, Raglai, Ma, etc. On a normal day, Chu Ru men wear white ao dai with white pants. They put on a white headscarf and a large cross-body cloth on holidays. Chu Ru women wear a shirt and a cape. The day cape is usually black, and the holiday cape is white.","Population as of 2019"
"40",40,"Co Ho","Co Ho","Not avaible","Koho or K'Ho","Co Ho Sre, Co Ho Chil, Co Ho Nop, Co Ho Lach (Lat), Co Ho T'ring, Co Ho Co Don","Lam Dong",200800,98593,102207,"Koho","Ba Na","Mon - Khmer","Autro-Asiatic","Highlands","The Co Ho people live by working in wet fields or shifting cultivation with typical agricultural tools. Their weaving works is especially developed.
Co Ho men wear loose loincloths and sleeveless pullovers. Decorative motifs on men's clothes are often concentrated on the bottom of the shirt with flower, bird's eye or geek shape. Women wear knee-length brocade woven skirts. In the past, women were topless, but they wear tunics or tights today. The Co Ho people prefer to use dark fabrics, especially blue and black.","Population as of 2019"
"41",41,"E De","Anak Ea De, Ra De, E De, Egar, De","Not avaible","Rhade","Kpa, Adham, Krung, Mdhur, Ktul, Dlie, Hrue, Bih, Blo, Kah, Kdrao, Dong Kay, Dong Mak, Ening, Arul, Hwing, Ktle","Dak Lak, Gia Lai, Phu Yen, Khanh Hoa",398671,195349,203322,"E De","Cham","Malay-Polynesia","Austronesian","Highlands","The Ede people are of island origin and have been present in Central Vietnam for a long time. Their developed type of crafts are rattan weaving and cotton-weaving.
Ede women wear long skirts to the heels; in the summer, they are topless or wear pullovers. The shirt is indigo and decorated with red lines at the collar, shoulder blades, arms, and hem. Men wear loincloths and pullovers; sleeves, neckline, and slit areas are decorated with red and white fabric trims; the chest area has a large rectangular array. Both men and women have the custom of grinding their teeth, stretching their ears and dyeing their teeth black.","Population as of 2019"
"42",42,"Gia Rai","Gia Rai","Cho Ray, Gio Ray","Jarai","Chor, Hdrung, Arap, Mthur, Tobuan","Gia Lai, Kon Tum, Dak Lak, Phu Yen",513930,252340,261590,"Jarai","Cham","Malay-Polynesia","Austronesian","Highlands","The Gia Rai people have lived for a long time in the mountains of the Central Highlands. They live on cultivation, having a management system and division of arable land from a very early age.
On regular days, Gia Rai men wear pullovers, white plaid loincloths - called Toai. On holidays, they wear indigo loincloths with colourful patterns, called Toai Kteh. Gia Rai women wear high neck pullovers, buttoned at the shoulder line, decorated with patterns at the bottom of the shirt, across the chest, on both shoulders, underarms and sleeves.","Population as of 2019"
"43",43,"Ma","Ma","Chau Ma, Cho Ma, Che Ma","Ma or Maa","Ma Ngan, Ma Xop, Ma To, Ma Krung","Lam Dong, Dak Nong, Dong Nai and Binh Phuoc",50322,24406,25916,"Ma","Ba Na","Mon - Khmer","Autro-Asiatic","Highlands","The Ma people mainly live on multi-cropping, including rice and many other crops. Fishing is quite popular. Cotton-weaving is particularly well-developed.
The Ma people are very skilled at using colours in brocade weaving. Each colour is made from a different plant. Patterns are primarily geometric. Women wear close-fitting tops with low round collars and no slits. Men wear loincloths and pullovers. The back of the tops is longer than the front flap to cover the buttocks.","Population as of 2019"
